Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Lavender Kevin P,EVP,2022-06-02,Sale,39.24,"6,500","255,060","71,008",Jun 06 04:07 PM
Schramm Jude,EVP & CIO,2022-05-17,Sale,36.93,"2,500","92,325","45,844",May 19 05:07 PM
CARMICHAEL GREG D,"CEO, Chair",2022-04-21,Sale,40.05,"50,000","2,002,500","644,745",Apr 22 04:03 PM
FEIGER MITCHELL,Director,2022-02-22,Option Exercise,27.71,"27,965","774,910","31,981",Feb 24 04:35 PM
Spence Timothy,President,2022-02-14,Sale,48.07,"4,558","219,103","150,405",Feb 15 04:36 PM
CARMICHAEL GREG D,"CEO, Chair",2022-02-09,Sale,49.21,"67,687","3,330,877","589,820",Feb 09 04:23 PM
CARMICHAEL GREG D,"CEO, Chair",2022-02-07,Option Exercise,16.15,"141,447","2,284,369","745,630",Feb 09 04:23 PM
Hammond Howard,EVP,2022-02-07,Sale,47.63,"2,500","119,064","44,266",Feb 08 04:18 PM
Hammond Howard,EVP,2021-11-03,Sale,43.79,"4,000","175,160","47,592",Nov 05 04:10 PM
Garrett Kristine R.,EVP,2021-10-25,Sale,45.61,"10,740","489,851","38,963",Oct 27 04:33 PM
Shaffer Robert P,EVP,2021-09-08,Sale,38.41,"6,372","244,749","51,009",Sep 10 04:07 PM
Shaffer Robert P,EVP,2021-09-02,Option Exercise,14.36,"17,731","254,617","68,740",Sep 07 04:26 PM
HARVEY THOMAS H,Director,2021-08-24,Sale,38.13,500,"19,065","21,766",Aug 26 04:25 PM
