Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Begor Mark W,CEO,2022-04-27,Sale,204.74,"15,000","3,071,052","43,692",Apr 28 04:13 PM
Singh Sid,President - USIS,2022-02-25,Option Exercise,129.88,"19,222","2,496,595","40,422",Mar 01 04:15 PM
Singh Sid,President - USIS,2022-02-25,Sale,215.93,"19,222","4,150,572","21,200",Mar 01 04:15 PM
KELLEY JOHN J III,Chief Legal Officer,2021-12-31,Option Exercise,184.38,"4,949","912,516","11,703",Jan 04 04:42 PM
Ploder Rodolfo O,Pres-Workforce Solutions,2021-12-03,Option Exercise,124.39,"29,672","3,690,861","89,448",Dec 07 04:49 PM
Houston Julia A,Chief Strategy & Mktg Officer,2021-08-20,Option Exercise,98.15,"12,368","1,213,978","20,060",Aug 24 04:13 PM
KELLEY JOHN J III,Chief Legal Officer,2021-08-20,Option Exercise,123.49,"16,196","2,000,044","31,838",Aug 24 04:13 PM
Singh Sid,President - USIS,2021-08-20,Option Exercise,110.76,"6,021","666,886","17,811",Aug 24 04:13 PM
Griggs James M,SVP & Corp Controller,2021-08-20,Option Exercise,105.99,"1,887","200,003","7,271",Aug 24 04:12 PM
Griggs James M,SVP & Corp Controller,2021-08-20,Sale,256.78,"1,877","481,975","5,394",Aug 24 04:12 PM
Singh Sid,President - USIS,2021-08-20,Sale,256.79,"7,628","1,958,772","10,183",Aug 24 04:13 PM
KELLEY JOHN J III,Chief Legal Officer,2021-08-20,Sale,256.75,"25,100","6,444,500","6,738",Aug 24 04:13 PM
Houston Julia A,Chief Strategy & Mktg Officer,2021-08-20,Sale,256.76,"12,368","3,175,662","7,692",Aug 24 04:13 PM
Koehler Bryson R,Chief Technology Officer,2021-08-20,Sale,256.85,"4,500","1,155,811","12,634",Aug 24 04:13 PM
Dhore Prasanna,Chief D&A & Innovation Officer,2021-08-04,Sale,257.49,"2,001","515,239","11,584",Aug 06 04:13 PM
