Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Singh Vijayanthimala,Chief People Officer,2022-08-01,Sale,130.59,800,"104,472","27,714",Aug 02 05:44 PM
Miele Laura,Chief Operating Officer,2022-08-01,Sale,130.77,"1,500","196,150","33,700",Aug 02 05:36 PM
Bruzzo Chris,Chief Experience Officer,2022-08-01,Sale,130.82,"2,000","261,639","21,524",Aug 02 05:28 PM
Wilson Andrew,CEO and Board Chair,2022-07-29,Sale,131.50,"10,000","1,315,014","31,742",Aug 01 05:10 PM
Miele Laura,Chief Operating Officer,2022-07-01,Option Exercise,35.7,"10,275","366,818","46,975",Jul 06 05:03 PM
Singh Vijayanthimala,Chief People Officer,2022-07-01,Sale,120.9,800,"96,720","28,514",Jul 06 05:05 PM
Miele Laura,Chief Operating Officer,2022-07-01,Sale,121.93,"11,775","1,435,713","35,200",Jul 06 05:03 PM
Bruzzo Chris,Chief Experience Officer,2022-07-01,Sale,121.9,"2,000","243,805","23,524",Jul 06 04:58 PM
Wilson Andrew,CEO and Board Chair,2022-06-29,Sale,123.05,"8,182","1,006,795","34,242",Jun 30 06:53 PM
Singh Vijayanthimala,Chief People Officer,2022-06-13,Sale,131.26,800,"105,008","29,314",Jun 14 09:21 PM
Miele Laura,EVP & Chief Operating Officer,2022-06-01,Sale,138.85,"3,100","430,435","36,700",Jun 02 07:12 PM
Bruzzo Chris,Chief Experience Officer,2022-06-01,Sale,138.94,"2,000","277,877","25,524",Jun 02 07:10 PM
Bruzzo Chris,Chief Experience Officer,2022-05-27,Option Exercise,37.02,"4,500","166,590","32,024",Jun 01 05:07 PM
Wilson Andrew,CEO and Board Chair,2022-05-27,Sale,139.0,"8,182","1,137,298","36,742",Jun 01 05:10 PM
Bruzzo Chris,Chief Experience Officer,2022-05-27,Sale,140.0,"4,500","630,004","27,524",Jun 01 05:07 PM
Wilson Andrew,CEO and Board Chair,2022-05-23,Sale,133.88,"4,056","543,037","110,669",May 24 06:18 PM
Schatz Jacob J.,Chief Legal Officer,2022-05-19,Sale,129.02,"1,000","129,020","24,067",May 20 05:07 PM
Bruzzo Chris,Chief Experience Officer,2022-05-18,Sale,128.39,"2,000","256,778","27,524",May 19 06:15 PM
Ueberroth Heidi,Director,2022-05-02,Option Exercise,120.0,166,"19,920","5,161",May 04 06:11 PM
Simonson Richard A,Director,2022-05-02,Option Exercise,120.0,206,"24,720","56,094",May 04 06:06 PM
Hoskins Roche L Talbott,Director,2022-05-02,Option Exercise,120.0,195,"23,400","16,972",May 04 06:01 PM
Huber Jeff,Director,2022-05-02,Option Exercise,120.0,172,"20,640","8,915",May 04 05:46 PM
Gonzalez Rachel A,Director,2022-05-02,Option Exercise,120.0,160,"19,200",456,May 04 05:38 PM
Singh Vijayanthimala,Chief People Officer,2022-05-02,Sale,118.75,800,"95,000","19,517",May 03 05:49 PM
Miele Laura,EVP & Chief Operating Officer,2022-05-02,Sale,119.23,"3,100","369,608","20,329",May 03 05:43 PM
Wilson Andrew,CEO & Director,2022-04-29,Sale,122.62,"10,000","1,226,169","72,630",Apr 29 08:44 PM
Schatz Jacob J.,Chief Legal Officer,2022-04-18,Sale,122.34,"1,000","122,340","14,468",Apr 19 08:12 PM
Singh Vijayanthimala,Chief People Officer,2022-04-01,Sale,126.85,800,"101,480","20,317",Apr 04 06:11 PM
Miele Laura,EVP & Chief Operating Officer,2022-04-01,Sale,124.91,"3,100","387,210","23,429",Apr 04 06:07 PM
Wilson Andrew,CEO & Director,2022-03-29,Sale,128.58,"10,000","1,285,813","82,630",Mar 29 05:28 PM
Schatz Jacob J.,Chief Legal Officer,2022-03-16,Sale,121.29,"1,000","121,290","15,468",Mar 18 05:52 PM
Singh Vijayanthimala,Chief People Officer,2022-03-01,Sale,130.55,800,"104,440","21,117",Mar 03 06:02 PM
Miele Laura,EVP & Chief Operating Officer,2022-03-01,Sale,128.75,"3,100","399,116","26,529",Mar 03 06:00 PM
Wilson Andrew,CEO & Director,2022-02-28,Sale,130.16,"10,000","1,301,608","92,630",Mar 01 06:01 PM
Schatz Jacob J.,Chief Legal Officer,2022-02-16,Sale,133.75,"1,000","133,750","16,468",Feb 17 05:26 PM
Jorgensen Blake J,EVP & Chief Financial Officer,2022-02-09,Sale,134.75,"3,315","446,710","78,075",Feb 11 05:20 PM
Ueberroth Heidi,Director,2022-02-01,Option Exercise,129.94,154,"20,011","4,995",Feb 03 05:25 PM
